"#","Domain","Key Libraries","CQM Status (see ADR 0005 + MODULE-CONTRACTS V2)"
"1","Quantum Simulation","Q.js, quantum-circuit, Quirk","REFUSED quantum-circuit (~14.5 MB CJS, unverified lead) — owned pure-TS statevector register in src/math/quantum.ts"
"2","CAS / Symbolic Math","Algebrite, Math.js, Nerdamer","NOT ADOPTED — no symbolic-math consumer in the sim; revisit if an equation-driven system lands"
"3","Numerical / Linear Algebra","@stdlib, ndarray+scijs, ml-matrix, numeric.js","NOT ADOPTED — three.js math layer + owned scalar/spatial modules cover current needs"
"4","Statistics & Probability","jStat, simple-statistics, danfo.js","ADOPTED simple-statistics v7.9.0 (ISC) — rolling telemetry analytics (src/sim/analytics.ts)"
"5","GPU Compute","TensorFlow.js, GPU.js, TypeGPU, Taichi.js, gpu-io","DEFERRED gpu-io — CPU Gray-Scott at 128^2 fits frame budget; gpu-io is the documented upgrade path if grid grows"
"6","WebAssembly Math","Rapier.js (Rust WASM), OpenCV.js, Ammo.js, Cannon-es","NOT ADOPTED — sim physics is intentionally stylized, not rigid-body"
"7","Autodiff / Autograd","TF.js autograd, deepnet.js, Micrograd JS ports","NOT ADOPTED — no gradient-trained component yet"
"8","ODE / PDE Solvers","ode45-cash-karp, VisualPDE (WebGL GPU shaders), JSXGraph","REFUSED ode45-cash-karp for hot paths (allocates per call) — owned fixed-step RK4 planned for attractor ribbons"
"9","Signal Processing / FFT","DSP.js, fft.js, Meyda, Web Audio API","ADOPTED Web Audio AnalyserNode (native) — audio-reactive bands (src/audio/analysis.ts); Meyda refused as overweight for 4 bands"
"10","Cryptography / Number Theory","@noble/curves (secp256k1, BLS12-381, ed25519), @noble/hashes","ADOPTED @noble/hashes v2.2.0 (MIT) — sha256 deterministic lore naming (src/sim/lore.ts)"
"11","Computational Geometry","d3-delaunay, RBush (R-tree), hull.js, polybool","ADOPTED d3-delaunay v6.0.4 (ISC) — Voronoi sky constellations + sub-sector location (src/sim/constellations.ts)"
"12","Graph Theory / Networks","Graphology + full algorithm ecosystem, Cytoscape.js","ADOPTED graphology v0.26.0 + communities-louvain v2.0.2 + metrics v2.4.0 (MIT) — connectome tribes + pagerank (src/sim/graph-mind.ts)"
"13","Optimization","ml-levenberg-marquardt, BFGS/L-BFGS, Nelder-Mead","NOT ADOPTED — no fitting/optimization consumer yet"
"14","ML Math Primitives","Brain.js, ml.js ecosystem, ONNX Runtime Web, Transformers.js","NOT ADOPTED — out of scope for the deterministic sim core"
"15","3D Math / Graphics","gl-matrix, Three.js math layer, glsl-scijs","ADOPTED three v0.184.0 math layer (MIT) — Vector3/Color/curves throughout the sim"
"16","Exact / Arbitrary Precision","Fraction.js (BigInt rational), Decimal.js, big.js, BigInteger.js","NOT ADOPTED — Float64 + documented tolerances suffice (numerical canon, Master File III)"
"17","Math Visualization","D3.js, Plotly.js, Mafs (React), Function Plot, Vega-Lite","NOT ADOPTED — owned canvas sparklines + mermaid v11.15.0 (MIT) for docs diagrams"
"18","Chaos / Fractals / CA","gpu-io (Lenia, Gray-Scott), Mandelbrot/Julia (WebGL escape-time), Lorenz/Rössler","ADOPTED concepts, owned code — Gray-Scott CPU kernel (src/sim/reaction-diffusion.ts); Lorenz drift lives in entity behaviors + shoggoths"
"19","Physics Simulation","Matter.js, p2.js, Rapier.js PBD, oimo.js, PhysicsJS","NOT ADOPTED — see row 6"
"20","Reactive / Streaming Math","RxJS (scan/window/bufferCount for streaming stats), Observable Plot","NOT ADOPTED — ring buffers + per-frame polling are allocation-free and sufficient; RxJS operator pipelines add GC pressure to hot paths"
